77
8.5 1.467
9 1.45048
9.5 1.43488
10 1.42013
10.5 1.40615
11 1.39287
11.5 1.38021
12 1.36809
12.5 1.35647
13 1.3453
13.5 1.33453
14 1.32412
14.5 1.31403
15 1.30422
15.5 1.29464
16 1.28527
16.5 1.27607
17 1.26702
17.5 1.25810
18 1.24928
18.5 1.24053
19 1.23184
19.5 1.22314
20 1.21440
21 1.19645
22 1.17705
23 1.15558
24 1.13598
25 1.12463
26 1.11896
27 1.11517
28 1.11212
29 1.10945
30 1.10702
32 1.10263
34 1.09864
36 1.09490
38 1.09131
40 1.08781
42 1.08436
44 1.08093
46 1.07748
48 1.07402
50 1.07053
52 1.06700
54 1.06346
56 1.05988
58 1.05629
60 1.05267
65 1.04353
70 1.03425
75 1.02462
80 1.01525
85 1.00552
90 0.99565
95 0.98564
100 0.97550
110 0.95487
120 0.93383
130 0.91243
140 0.89072
150 0.86873
160 0.84650
170 0.82404
180 0.80138
190 0.77855
200 0.75554
210 0.73238
220 0.70908
230 0.68564
240 0.66208
250 0.63841
260 0.61465
270 0.59080
280 0.56690
290 0.54294
300 0.51892

